样本ID,业务文本,行业代码,行业代码名称,企业名称(脱敏),标注_是否体育,标注_体育业态,标注_置信度(1-5),标注_判断依据
1,体育场地工程施工,4892,体育场地设施施工,四川浩广***公司,,,,
2,教育培训,8399,其他教育,井研达成***公司,,,,
3,体育培训,8392,体校及体育培训,成都嘉动***公司,,,,
4,文化体育推广及服务,8991,其他(8991),成都宏腾***公司,,,,
5,体育用品批发服务,5142,体育用品批发,南充名鼎***公司,,,,
6,体育竞赛组织,8911,体育组织,成都市柔***公司,,,,
7,户外运动组织策划,8919,其他体育组织,四川星趣***公司,,,,
8,体彩零售,9041,其他(9041),四川自腾***公司,,,,
9,保健按摩,8053,其他(8053),小金县美***诊所,,,,
10,运动休闲针织服装制造,1821,运动机织服装制造,四川省南***公司,,,,
11,健身休闲活动,8930,健身休闲活动,米易峡谷***公司,,,,
12,体育赛事活动策划,8911,体育组织,成都蜂鸟***公司,,,,
13,体育器材安装,4991,其他(4991),梓潼县志***公司,,,,
14,体育用品及器材零售,5242,体育用品零售,四川昶畅***公司,,,,
15,互联网信息服务,6429,其他(6429),四川恒众***公司,,,,
16,体育赛事策划,9052,其他(9052),雅安弘源***公司,,,,
17,健身服务,8930,健身休闲活动,成都诺诚***公司,,,,
18,广告制作,7259,广告服务,内江馨凯***公司,,,,
19,游泳服务,8930,健身休闲活动,四川华睿***公司,,,,
20,体育竞赛组织,8911,体育组织,成都菘蓝***公司,,,,
21,健身休闲活动,8930,健身休闲活动,成都永无***公司,,,,
22,户外活动组织,8930,健身休闲活动,四川乐立***公司,,,,
23,运动器材批发,5142,体育用品批发,四川金誉***公司,,,,
24,包装装潢及其他印刷,2319,其他(2319),成都市四***公司,,,,
25,体育培训服务,8392,体校及体育培训,自贡市高***公司,,,,
26,户外游乐,8930,健身休闲活动,巴中市龙***公司,,,,
27,地理遥感信息服务,6571,其他(6571),四川雏鹰***公司,,,,
28,互联网销售,5292,其他(5292),达州盈盛***公司,,,,
29,体育培训文化艺术训,8392,体校及体育培训,金堂绿茵***公司,,,,
30,棋牌室服务,8930,健身休闲活动,富顺县蜀***资）,,,,
31,户外活动,8930,健身休闲活动,四川蚁动***公司,,,,
32,健身休闲活动,8930,健身休闲活动,成都大杰***公司,,,,
33,健身休闲服务,8930,健身休闲活动,成都引力***公司,,,,
34,零售体育用品,5242,体育用品零售,资阳市红***公司,,,,
35,工程管理服务,7481,其他(7481),四川盛禧***公司,,,,
36,文体服务,9052,其他(9052),达州宏卓***公司,,,,
37,工程和技术研究,7320,其他(7320),四川胜美***公司,,,,
38,鞋帽零售,5233,其他(5233),成都贤思***公司,,,,
39,健身休闲活动,8930,健身休闲活动,成都玛尔***公司,,,,
40,电子竞技服务,6422,其他(6422),成都时空***网吧,,,,
41,户外拓展运动组织,8919,其他体育组织,攀枝花六***公司,,,,
42,渔具零售,5242,体育用品零售,成都凯立***公司,,,,
43,跆拳道培训,8911,体育组织,成都寻武***公司,,,,
44,轮滑培训,8392,体校及体育培训,四川迎浩***公司,,,,
45,羽毛球健身,8930,健身休闲活动,成都双羽***公司,,,,
46,户外座椅零售,5242,体育用品零售,四川松屹***公司,,,,
47,健身休闲活动,8930,健身休闲活动,富顺县杰***公司,,,,
48,体育用品器材零售,5242,体育用品零售,巴中市康***公司,,,,
49,健身娱乐,8930,健身休闲活动,邻水县星***公司,,,,
50,商业综合体管理服务,7222,其他(7222),四川高合***公司,,,,
51,棋牌娱乐服务,8930,健身休闲活动,兴文县捷***公司,,,,
52,体育培训服务,8930,健身休闲活动,成都市龙***公司,,,,
53,体育器材零售,5242,体育用品零售,达州市博***公司,,,,
54,体育用品和器材批发,5142,体育用品批发,成都元侯***公司,,,,
55,体育场地工程施工,4892,体育场地设施施工,四川艺巳***公司,,,,
56,其他广告服务,7259,广告服务,成都蜀印***公司,,,,
57,互联网服装批发,5193,其他(5193),成都众格***公司,,,,
58,体育运动服务,8911,体育组织,德阳市飞***公司,,,,
59,体育场地设施工程施工,4892,体育场地设施施工,德阳翼搏***公司,,,,
60,体育赛事组织策划服务,9052,其他(9052),成都富宏***公司,,,,
61,体育赛事策划,8911,体育组织,成都天府***公司,,,,
62,广告设计和制作,7259,广告服务,四川米好***公司,,,,
63,广告制作服务,7259,广告服务,合江亿翔***公司,,,,
64,技术推广服务,5292,其他(5292),雅安喜兔***公司,,,,
65,健身服务,8930,健身休闲活动,开江县启***公司,,,,
66,互联网零售,5292,其他(5292),大英零柒***公司,,,,
67,建筑清洗服务,8211,其他(8211),攀枝花琦***公司,,,,
