统一社会信用代码,企业名称,行业代码,主要业务活动,是否体育,体育业态,体育业务占比,置信度,样本ID,标注A_是否体育,标注A_体育业态,标注A_判断依据,标注B_是否体育,标注B_体育业态,标注B_判断依据,金标准_是否体育,金标准_体育业态,金标准_仲裁理由
91510114MA67GDEA8E,四川浩广天体育设施工程有限公司,4892,体育场地工程施工,True,体育场馆,0.8736,0.95,1,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91511124MA6863276R,井研达成教育有限公司,8399,教育培训,False,非体育,0.075,0.0,2,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510107MABWDQ2M06,成都嘉动力体育文化传播有限公司,8392,体育培训,True,体育培训,0.8736,0.95,3,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91510107066981390U,成都宏腾威科技有限责任公司,8991,文化体育推广及服务,True,体育传媒,0.6611,0.9,4,是,体育传媒,非代码+1信号+短文本,是,体育传媒,非代码+1个信号,是,体育传媒,双方一致
91511302MA68NPKB69,南充名鼎商贸有限公司,5142,体育用品批发服务,True,体育用品,0.8736,0.95,5,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510181MA635P8J2U,成都市柔之道体育文化发展有限责任公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,6,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91511402MA64R4C06Y,四川星趣户外运动策划有限公司,8919,户外运动组织策划,True,健身休闲,0.8736,0.95,7,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510781MAACPP027P,四川自腾科技有限公司,9041,体彩零售,True,体育彩票,0.6611,0.9,8,是,体育彩票,非代码+1信号+短文本,是,体育彩票,非代码+1个信号,是,体育彩票,双方一致
91513227MA625JRK41,小金县美兴镇便民诊所,8053,保健按摩,False,非体育,0.0,0.0,9,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511321MA629CTN43,四川省南部县南美服装有限公司,1821,运动休闲针织服装制造,True,体育用品,0.2125,0.85,10,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510421MA63QCWT68,米易峡谷风情康养旅游开发有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,11,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510108MA61TQNUX6,成都蜂鸟飞扬体育文化传播有限公司,8911,体育赛事活动策划,True,体育赛事,0.8736,0.95,12,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
